FROM_ZIP_CODE	TO_ZIP_CODE	TRANSIT_TIME
27530	92340	3
27510	92340	3
93270	92340	3
77123	92340	3
93290	92340	3
77480	92340	3
91690	92340	3
91000	92340	3
75003	92340	3
95490	92340	3
94100	92340	3
78125	92340	3
95620	92340	3
92410	92340	3
93380	92340	3
78800	92340	3
77133	92340	3
94140	92340	3
91570	92340	3
91490	92340	3
94370	92340	3
45170	92340	3
94290	92340	3
77300	92340	3
28170	92340	3
91720	92340	3
92340	92340	3
77127	92340	3
78390	92340	3
91750	92340	3
92320	92340	3
78280	92340	3
91560	92340	3
77500	92340	3
91130	92340	3
78270	92340	3
28230	92340	3
77590	92340	3
91870	92340	3
95170	92340	3
77184	92340	3
77430	92340	3
93600	92340	3
92800	92340	3
27240	92340	3
92170	92340	3
60110	92340	3
77139	92340	3
92360	92340	3
94190	92340	3
94550	92340	3
95750	92340	3
75116	92340	3
91440	92340	3
60300	92340	3
91780	92340	3
91740	92340	3
77610	92340	3
91080	92340	3
75019	92340	3
77290	92340	3
77220	92340	3
28120	92340	3
78150	92340	3
78230	92340	3
95570	92340	3
78370	92340	3
27220	92340	3
27710	92340	3
28260	92340	3
45310	92340	3
95580	92340	3
78740	92340	3
91700	92340	3
92380	92340	3
28700	92340	3
27180	92340	3
77540	92340	3
78510	92340	3
95690	92340	3
95250	92340	3
78430	92340	3
77690	92340	3
78180	92340	3
91910	92340	3
94800	92340	3
92310	92340	3
77350	92340	3
77141	92340	3
77154	92340	3
77115	92340	3
93220	92340	3
77950	92340	3
95330	92340	3
95230	92340	3
45400	92340	3
92150	92340	3
27770	92340	3
77630	92340	3
77620	92340	3
78650	92340	3
78980	92340	3
78140	92340	3
60730	92340	3
78600	92340	3
77930	92340	3
95600	92340	3
94210	92340	3
77230	92340	3
77910	92340	3
94450	92340	3
77390	92340	3
95240	92340	3
75005	92340	3
93350	92340	3
78610	92340	3
28380	92340	3
93120	92340	3
91120	92340	3
28800	92340	3
95120	92340	3
91180	92340	3
78111	92340	3
92140	92340	3
78340	92340	3
95130	92340	3
95720	92340	3
91210	92340	3
78910	92340	3
91070	92340	3
78711	92340	3
94520	92340	3
77164	92340	3
91770	92340	3
77850	92340	3
77760	92340	3
91790	92340	3
91220	92340	3
94250	92340	3
77660	92340	3
77178	92340	3
77185	92340	3
78220	92340	3
45680	92340	3
94460	92340	3
78955	92340	3
45760	92340	3
95710	92340	3
75011	92340	3
78830	92340	3
93360	92340	3
77163	92340	3
95610	92340	3
94430	92340	3
95500	92340	3
94120	92340	3
94260	92340	3
78260	92340	3
94510	92340	3
92130	92340	3
77580	92340	3
91360	92340	3
93000	92340	3
93200	92340	3
91810	92340	3
94700	92340	3
45520	92340	3
93500	92340	3
91400	92340	3
91830	92340	3
77550	92340	3
95430	92340	3
92350	92340	3
95180	92340	3
94220	92340	3
92220	92340	3
28110	92340	3
95650	92340	3
93100	92340	3
92000	92340	3
93170	92340	3
77144	92340	3
91160	92340	3
91640	92340	3
92110	92340	3
77090	92340	3
77990	92340	3
93800	92340	3
78420	92340	3
78620	92340	3
95260	92340	3
77860	92340	3
28270	92340	3
75008	92340	3
94150	92340	3
95460	92340	3
95550	92340	3
95770	92340	3
78200	92340	3
27620	92340	3
93150	92340	3
94240	92340	3
77410	92340	3
95400	92340	3
95590	92340	3
77370	92340	3
95320	92340	3
78500	92340	3
45410	92340	3
78360	92340	3
60560	92340	3
91590	92340	3
89690	92340	3
91880	92340	3
28140	92340	3
91330	92340	3
92160	92340	3
75012	92340	3
95310	92340	3
93370	92340	3
95100	92340	3
78580	92340	3
95480	92340	3
92300	92340	3
93130	92340	3
93430	92340	3
93470	92340	3
93310	92340	3
93140	92340	3
78170	92340	3
77250	92340	3
60570	92340	3
91660	92340	3
78560	92340	3
78114	92340	3
77240	92340	3
78780	92340	3
78210	92340	3
60430	92340	3
95370	92340	3
28210	92340	3
27730	92340	3
77700	92340	3
91280	92340	3
93190	92340	3
60290	92340	3
75013	92340	3
78820	92340	3
28500	92340	3
92290	92340	3
91140	92340	3
95880	92340	3
92190	92340	3
27810	92340	3
78190	92340	3
28000	92340	3
77210	92340	3
92390	92340	3
45700	92340	3
77520	92340	3
77570	92340	3
93700	92340	3
95700	92340	3
94310	92340	3
60128	92340	3
77100	92340	3
78450	92340	3
60810	92340	3
77126	92340	3
77970	92340	3
60870	92340	3
27600	92340	3
78950	92340	3
91170	92340	3
77183	92340	3
77174	92340	3
77940	92340	3
78790	92340	3
91290	92340	3
78120	92340	3
77280	92340	3
91650	92340	3
91550	92340	3
95670	92340	3
91840	92340	3
77150	92340	3
28300	92340	3
75018	92340	3
95810	92340	3
27120	92340	3
91260	92340	3
75017	92340	3
77440	92340	3
92420	92340	3
